userName,Review,Rating
Joan Lichtmann,Works well but the self assessment tool disappeared after not using app for a while,4
Patricia Emsley,Great app 👌,5
simon t,Wheny Pixel started to crash when I used the App. I reported this to developers. They replied and acknowledged the bug(s). Kept us posted on patch release. All good now!!,4
Carol Anne Penner,UPDATE - developers recognized the issue and fixed. App is running smooth again. This was a five start app but now it hasn't worked for over a month. Crashes since Android update.,4
Rebecca Cross,Unable to report symptoms. Have no access to cell service and so unable to contact 8-1-1 ( need online chat ) very difficult to use or navigate.,1
Richard Boiteau,app crash under Android 12... was fine under Android 11. was 2 stars.. back to 5 after the fix to update to Android 12,5
Personal Coach,"This tracking app was covertly installed on my android device during a Test of The Emergency Broadcast System. It was easy to find and uninstall. Be cautious and search your device if they do another ""Test"". The real test is if you are savvy enough to find it and delete it. Peace from BC",1
Alok Dutt,Edit : android 12 was released in Oct 21 which broke the app according to developers major bug app won't even open and they fix it after 4 months. What I should say they worked very quickly?,2
Ellen Tsang,"EDIT: It's fixed! No longer crashes. Thanks developers for taking the time to respond and let me know I can reinstall. The Self-Check tab (on the far right) seems to have an error though. I just installed it without inputting any symptoms and it already says ""Please get a COVID-19 test and self-isolate.""",4
Zack van Helvoirt,App works now following a recent update 👍,5
Caleb and Meredith,Crashes and locks phone as soon as you install it. Completely useless.,1
Becca Citlali,"It won't load, also won't do anything but lock my phone over and over. Android user.",1
daisybee3,As mentioned by many others. This app crashes your phone. But I tried anyways. Does not work.,1
Quoc Nguy,"Pos app, just crashes and locks my phone and I need to unlock twice before I can get back into my phone",1
Ingrid Kilde,Causes.my phone to crash,1
B4 Now,Don't trust this app.... Too much information. The government doesn't need to know more from you. Stay alert and don't trust everything they say.questions and look for yourself for TRUE. BE SMART AND BE SAFE.,1
Jason Wang,Doesn't work and bring phone to lock screen,1
Shelley Baart-Gaylor,Keeps crashing,1
Michael Walker,Locks and crashes android 12...,1
Vanessa Yu,App crashes. Worked fine before Android update.,1
Yvette,"Was fine until a couple weeks ago. Now when I click on the app it crashes and locks my phone and even after I unlock it, it locks one more time. I also don't think it's updating with any data.",2
