userName,Review,Rating
Pui Cheng,Scan works only sometime.,3
nein,I hate it,1
Leigh Collins,easy to use,5
David Williams,stupid app,1
Liz Koley,very easy to use,5
brad sledz,"piss of Trudope. this BS is unnecessary, costly, and damaging to the Canadian economy. you should be ashamed",1
Lynda,"It's lengthy, and you can't do itsooner than 3 days before you travel. You'll need your passport, vaccination/immunization record or test results if not immunized, and no how to take a photo of them in your phone, but once you've got all that in hand, the app works great and should save time at the border. I am a US citizen and I'll be entering Canada for a brief vacation in August 2022.",5
John P,Ridiculous and unnecessary collection of information. Same info is collected at the airport!,1
Tim Sullivan,"This is Canada's way of stemming the flow American poison: Crazy Dems kicking out the police, lifetime rule in all cities, abusing blacks, wacky climate control, you name it. That's why Putin threw up his hands and decided to go it alone in this world and China is right there with him.",1
Chris Allen,70/30 doesn't work vs works,1
Leon Tremblay,follow the prompts and will make it a breeze to answer the questions.,4
mary francis,unnecessary hassle for people coming home. we are bullied into filling in the information otherwise we are stuck with either no travel or staying outside our country. it's a totally political App and not based on any science. It's costing tax payers money and resources that could be used in a smarter and more useful way.,1
Gerald Penn,Software bug - no pm times allowed that do not begin with 12,1
Graham Purse,"Racist (difficult for some FN, as one chief noted), ageist (complex for elderly), anti low income (assumes cell plan and data), anti trade (creates border frictions), job killer (border mayors indicate we are losing tourists).",1
Joshua Garcia,super simple to use. Thank you for make int it pain less.,5
Alyce hibben,could not enter the correct arrival time as it would not change from am to pm or the time should be in 24hour time no 12,1
Laszlo Papp,Horrible app. Developers of this app shoulg go back and repeat kindergarten.,1
Tony Nickonchuk,It won't let you enter a PM time for your flight arrival. Unreal.,2
Ronnie G.,Totally confusing And mostly non operative,1
kathy fisher,Very very NOT user friendly!!!! Try to add your 90 year old mother who is crossing on a different day than you and doesn't have a smart phone or even a computer!!!! Impossible!!!!,1
David Robert Lambert,ArriceCAN was easy to use.,5
Ryan Eckert,can government needs to get rid of this.,1
Drew Crane,complete garbage,1
Chuck Fox,hard knowing where ill be for 1r days when camping,4
Adam B,Completely pointless.,1
Daniel Legault,This app is just an excuse to digitize passports.,1
Lee,Does its job very well.,5
Elaine Stalker,Only really works if staying at same place for entire visit to Canada. I am going on a group tour and staying at different hotel almost every night.,3
Melodie Colquhoune,I think this is the best app so far so good it wasn't difficult just read and follow all the instructions very easy I like arrivecam I would recommend to friends and family,5
Yanick Proulx,passeport scan is horrible,2
Sasha Ramirez-Hughes,passport scanner didn't work but otherwise ok,4
aissatou bah,"Good, easy to use app",5
Colin Stauffer,Constant crashing,1
aklilu mulat,improved significantly from the last time I used it.,5
Jorge Reis,dumbest app ever created by a regime,1
Kia Vang,easy to use.,5
Michael Barton,"Not bad at all, passport scan is picky but good otherwise",4
Who Me,doesn't allow for travel through Canada from one US location to another US location on the same day,2
v v,"It didn't have an option to skip adresss entry in public health form, if I am returning back to USA on same day by road",1
Alison Adona,relatively easy to use,4
Sven-Erik Nyman,Total government overreach,1
Nadine McKinley,Sucked bad,1
Phil Haylock,complete waste of time!!,1
Jean-Francois Doucet Heon,"When crossing the border, nothing was told to us that we had to isolate but the next day, I started receiving false emails to isolate myself and family even if we met all the conditions to be exempted. Emails treatened a 5000$ fine and even prison. Had to write two emails and make calls and it took 4 days before the app stopped asking to send in daily reports.",1
David Go,very efficient,5
Jeffrey Moneva,"this my first time. so, we will see what happens in the border.",4
Mary O'Quinn,reasonably easy to use,5
Jessica Ruef,"clunky, not intuitive, no easy drop down options, unable to correct dated, links do not take to relevant pages, FRUSTRATING",1
Scott Adams,Government control only. Does nothing to prevent covidiots from spreading or contracting.,1
Rick Versteeg,forced review,1
H D,Pretty usable however it gave me a panic when i lost network connectivity and instead of telling me that the app told me i had an incorrect password,4
Diandra Rodrigues,"self explanatory, easy to use",5
Pierre Chouinard,Easy to fill in.,5
Nancy Lockhart,It would be easier to pull out teeth than work through this. I feel like I'm on a merry-go-round.,1
Kate Curren,So easy and fast!,5
Andrew Freeman,Dont need,1
MARK BROOKS,This app gets a 0. Over reaching government .,1
Patricia Cifuentes,Easy to use.,5
Joseph K,Silly.... Plain stupid.,1
Helena Green,Very easy and saves time!,5
Wendy B,great,5
Gord Chorny,Stupid hassle. I hope this is temporary,1
Kelly Frigstad,"Faulty, poorly designed, not fit to purpose",1
A Google user,horribly clunky,1
Jussara Jéssica Pereira,it works,5
Gary Max,"US passports do NOT start with a ""C"" You cannot proceed with this app past that point. Worthless",1
Andrew Davis,Easy to complete,5
Douglas German,"Passport scanner doesn't work well, easier to just enter the info yourself.",2
Jean-Sébastien Basque-Girouard,"can't enter an arrival time in PM, only AM",1
Gwynn Conwell,very user friendly. I wish this format was universally used.,5
M Noorist,garbage,1
Teddy Hong Lap Kwok,easy and clean instructions,5
Kirsten Iba Onsted,love the scan feature for the passport,5
Don Cianflone,I can't even sign in redone password and did not send me anything on my email,1
Matthew Wallace,"Another communist tracker. Millions of dollars wasted. Instead of fixing the fiasco at the airport, the government tests it's hand at communism.",1
Kimberley Wolfe,"This form is an invasion of privacy and a violation of the freedom of mobility under our Charter of Rights and Freedoms. Canada is setting itself apart from the rest of the world in mandating the collection and use of this data, particularly where there is no longer a state of emergency and no grounds to continue relying on the override provisions of our constitution. At what point will our government begin abiding by its own constitution?",1
Jemima Omoyeni,this app is very succinct and speeds up the customs crossing process.,5
Joe O,"So quick and easy. Thanks for providing a well organized, easy to use app.",5
Lee Ellen Olson,very difficult to navigate this website. not senior user friendly. not easy to exit and reenter. and how are you supposed to know the exact minute you will cross the border??? really?,3
Lissa Watson,"easy, saves time, good for health and safety of Travellers.",5
Mona Frayn,"Less painful than being in a crowd where many are rushing for a machine that most old folks are unable to handle in a timely manner, like myself. Thanks Canada",5
Richard Danby,Easy to understand and use,5
Robert D'Elia,easy to use,5
Adam Ross,waste of time imo,1
Fred Mullen,Works better than the Bills app. Go Bills.,5
Dermot Symington,Awful app.,1
Jane Huang,good enough for govt work,4
Stephanie I,This is what a dictator does to his country,1
Mike Ennis,"There are currently no entry requirements in Canada that require you isolate when traveling but our wonderful government still requires this nonsense. Bow to your supreme leader, glory is his name Mr. J.T.",1
Gr Mackenzie,very easy-to-use!,5
Denis Langlois,Easy to fill out,5
Dave Seabrook,"It's a great app, but it needs an option if you are just driving through the same day and not staying anywhere.",4
Matt Creech,total bs,1
Bryto1,great,5
Curtis Kadohama,"terrible app, constantly need to restart phone. doesn't allow even registration.",1
Ben Ference,"why ask for the vaccination dates if you require the documentation that also states the vaccination dates? the airlines also require this information, so we have to supply this information in triplicate.",2
Jeff Hanson,Yall suck 🖕,1
Cameron McDonald,"totally dumb, like the PM, and useless complication, like the PM",1
Ingrid CABRAE,Difficult to know what is our port of entry,5
Vitaliy Akudovich,"Very unusable app, horrible experience. Huge waste of our tax money",2
Dave Bell,complete government overreach.,1
Anita Mihalecz,"surprisingly good UX, easy and flawless usage",5
Bill Kelly,it sucks because you think you are finished but there is no indication that you need to continue,1
Malcolm Merson-Davies,easy to complete and intuitive.,5
Allison Niles,I cannot sign in,1
Lorna Tener,I couldn't figure out how to correct am to pm once I had submitted that section.,4
Graham Stratton,"Horrible UI, dispicaple Orwellian premise based on outdated tracing practices no longer active in Canada. I'm fully vaccinated and hate the execution of this app, it is an insult to air security and does nothing more than provide lip service to appease those who think this app is useful. Please reconsider requiring this for entry into our home country it is insulting and provides no value when no tracing is being performed. These are just hoops to jump through to justify an app developer's job.",1
Rich Phillips,no option for camping but easy to use for pre entry.,5
Tina Bellaira,quick and reliable,5
Christine Capella,Super easy.,5
Mark Struthers,very cumbersome and complex. a paper passport and covid vaccination should be available at the border,2
Joanna McClure,I can't upload vaccine proof. it stalls at 12% then makes me close the app to start again. beyond frustrating.,1
Keith J. Wilson,"Pretty Easy and simple, enjoy Canada for ALL IT OFFERS!!!",4
Randy Crowley,Effortless. Works very well for me.,5
Guy Stone,This app makes no sense. If CBSA already knows I am vaccinated from my last trip... Why keep proving it? Trudeau is a bitter little man boy wanna be communist. CBSA staff are great - it's their communist leader Trudeau bought and paid for by the WEF that is making Canada one of the worst places to travel in the world.,1
Jeanetta Davis-Jackson,"GREAT tool to expedite your visit to Canada. Thank you for this exceptional tool; easy to understand, easy to input and export critical documents.",4
alex khanin,I can never give an app 5* if I have to scroll through a calendar to enter a date,2
Vic Pono,This is an excellent system for the safety of everybody entering Canada.,5
Kashif Mushtaq,It sucks. Why app? Can this be a url for people who don't want to download the app to their phone. Just give us a secure url. Thanks.,1
Cameron Weller,just wish I could edit info if needed,3
Reuben Brown,I found it Difficult to use,2
Justin Hartwick,"needless paperwork,",1
Carol Rose,Easy to fill out,5
Thomas Gutta,"Good, except that it would not allow me to enter the correct arrival time.",4
Tim Amen,Solid online form UNTIL you get to the page where they want your address in Canada. We will be camping at unknown locations in British Columbia for less than 14 days. The online form cannot handle that data.,3
Dermott Clery,"Fast, efficient and straightforward process",5
Roshni Sharma,Great App,5
Josh Van Klei,It's terrible,1
Alex Hardy,demented that this is still required,1
Tola Olowu,simple and easy to complete.,5
suresh babu,User friendly Application,5
Jeff Coulter,get rid of it.,1
ming jeong,Have problem to sign up,1
Crist Cost,Better then the last time use.,4
Jim Darabond,Easy to follow,5
Shazia Parvez,Terrible app waste of time and useless,1
Daryl Smith,this should be shutdown,1
David Teichroeb,big waste of time,1
Murtaza Mohamedtaki,cumbersome,3
Luis Marcano,Very easy to use,5
toyo toyosi,officer not friendly,3
Stephen Tyler,nice app,5
Mark Alderson,this app is unnecessary,1
Ken Hale,not needed waste if time,1
Paul Giannetta,waste of time,1
Lydia Rodenburgh,"Difficulty in adding a second traveller. In the end, I had to submit separately. Good thing that I had a full battery.",3
Ngoc Bui,"very quick, easy and straight forward, I just need less than 5 minutes to finish this",5
Sylvain St-Onge,"When you have to choose a date, the app is not letting you choose correctly the date and time. you need to restart app and then when you can have the right date and time, the app is not using it, it leaves the field blank. it's kindda frustrating",3
Alex Woods,"clunky app, painful to use",1
joe garcia,mucho tiempo y demasiadas preguntas,1
Brent Openshaw,Easy to use and follow,5
Rick Guay,we are staying in a few cities and wanted to give all addresses,4
Mark Coatsworth,"This app sucks and serves no purpose, Welcome to Canada",1
J T,"Great app. You too can get your digital ankle bracelet so that globalist elites can track you everywhere you go! It brings me a great sense of security and reminds me a lot of my safe space that I created at home. Sometimes I just open the app to get that comforting memory of the cushioned walls, gender-inclusive color scheme and library of furry mangas. Overall I'd give this app a standing ovation except I'm worried that if I stand I may offend the legless community. #IStandWithUkraine",1
Marion Jung,easy to use,5
Toni Deschaine,Easy to complete,5
stephen adam,"Unnecessary. Provincial vaccination proof is all you need. This is just redundancy and shows the need to centralize healthcare, or leave it wholly to the provinces to manage. Classic bureaucracy.",1
Robert Monette,Easy to use after you enter your stuff,5
Camille Walker,"easy to use but if not tech savvy, it's an issue",5
Debbie Erenstone,the instructions were confusing for in transit travelers,4
FGK FGK,fast and efficient,5
Paul Marceau,"Great app, easy to use, straightforward, no glitches.",5
Bridget Flynn,Waste of taxpayer money and it's also glitchy. Let it die.,1
Abdul Butt,i shouldn't need a password to enter my own country.. Canada is my home not a speakeasy..,1
Nader Newman,This app is a repeat of all the info you are already asked and is a waste of time,1
Chris McQuid,Isn't communism great? 🤡,1
Jesse Kozma,mandatory app is government over reach,1
Christopher Wal,"Who programmed this app?? Apparently they seem to think that if you enter Canada, you're obligated to stay for at least one night. I visited Niagara Falls for the day but i had to enter a Canadian address where i was staying even though i didn't stay overnight.",2
Luis Ramos,glitches,2
Cobb Laslie,Does not work,1
Juan Araque,Easy and faster process,5
Keith Ellington,Easy-to-use,5
Bettyyeosiewwah Yeo,Good 👍,4
Christine Wade,Easy to fill out.,5
Karla Mancia-Garcia,garbage app with horrible user interface. Nonsensical since Canadian OHIP and health records already show our vaccination status.... NOT USER FRIENDLY! 😢 would give 0 stars if I could!,1
James Kunkel,this app sucks worst UI ever,1
Cynthia Wauer,"I read some bad reviews about this app, but personally found it pretty straight forward and easy to complete. Though it did take a while to complete. Just read everything thoroughly and have your documents ready, I took photos of my proof of vaccination beforehand and just attached the photo.",4
Mike B,Thought we live in a democracy. Guess not,1
RONALD CAO,"I was fully vaccinated.  After a short trip to the States the app commanded me to do a 14-day quarantine. Or I may be subject to tickets, fine or imprisonment. Scary! I called support. After waiting 45 minutes a lady said it was a mistake but she cannot correct it.  She gave me a long URL on the phone that I can report. But the URL always returned 404 after confirming a few times.  I asked to email me the URL.  She said she didn’t use email. Wish no one will have the nightmare",1
Kim Rac,very user friendly.,5
R Islam,Unnecessary app.,1
Iain Johnson,"No issues, quick to use.",5
Jan Daigle,easy to use,5
Ryan Davis,Contradictory information throughout the entire process.,1
N mann,Won't update,1
robyn unrau,super easy,5
Bob Lee,I like Canada but this app was hard to use.,2
Alex B,Too many glitches,1
Teresa Plastino,FU Gubmint Facists!!!,1
Peter Dove,Canada needs to eliminate this useless app.,1
Andrew Seipp,useless app,1
Pavel Koujelev,"this is total bs, waste if my precious time, thank u trudeau",1
Jer Giesbrecht,It's completely useless,1
Murray B,still awkward to use with no integration to provincial public health records,2
Sean whelan,needless waste of time. thanks liberals,1
Just a Quick Read,Annoying and overly cautious,1
