userName,Review,Rating
Helen McNair,Estimated wait times are usually double.,4
Lorise Cablik,I like that I can check throughout the day and arrange my schedule based on my wait time.,5
Muruga Nandan,Smart neat fast,5
Rabail Khan,There is no way to check how much time until your turn .,3
Anita Thomas,Fantastic. Makes the whole process of going for tests faster and easier with minimal waiting. The app itself has been flawless. Great system overall.,5
John Moehring,Useless app now. Majority of clinic no longer allow checking and wait times are never correct. Today attended one that indicated Wait time of 0 minutes ended up waiting 20 minutes. During wait time changed twice 5 min wait and 9 min wait.,1
Shannon Chambers,"What's the point? I do early check in in Stoney Creek, aand they still took 4 people ahead of me after I arrive.",1
Gilles Laframboise,Must have. Best helpful app.,5
Andy Silis,"The wait times displayed are unrealistic. Plus, once you get to the clinic, the wait time in line BEFORE checking in at the counter are LONGER than the stated wait times. Finally, you get some ""blood testing tourist"" who cuts the line because they made an appointment online, so they think they don’t have to wait in the line and cut in; and the staff ACCEPT it, completely ignoring that the individual cut the line",2
Rabi Qureshi,So far so good. Pretty straight forward to use,4
Gary Jin,love this app. very helpful,5
mari aken,I feel bad for people who don't use this site to check in because i am always next even when there's an hour wait. it's so easy and saves me time.,5
Nicholas Medwyk,great app. helps letting you know when you need to arrive. very time saving.,5
Robert Lazure,Great app and a real service to the community.,4
Chris Ede,Great,5
Wayne Shook,Great service fast,5
Jacques LaRose,I checked in online and waited 1h30 to be seen. When I got there it seems my place was never even registered as they were going to have me wait an extra two hours in order to be served. Why do you offer this Services if your clinics are not going to be respecting it?,1
A Google user,A great way to book a lab appointment and not have to wait not knowing whether you will get in or not and have to come back another day.,5
Vadim Koustov,sms and push notifications are not working. app is useless without it.,1
Adrian Peter Galicinski,SMS is a joke not Consistent and on board with time on location icon! a joke!,1
Google User,it keeps removing my check in before the time is up !!!,1
Jan,"this sucks, booked my appointment and then cancelled that I was not there, and I had booked",1
Guy Montpellier,"Whatever you do, don't close the app. You lose your timer and if you try to check back in you get a useless message to check in as a different name or to a different location.",2
Wizzen Witch,Great System 👍,5
Mifthioul Wahed,ther to slow,3
Andre Filion,"great idea on paper, but not working properly. waited 1 hour and the app kicked me out and wouldn't let me sign in again.",1
John Ruicci,very convenient.,5
A J,The online check-in is wonderful!,5
jon ramirez,Garbage application,1
Phil Irving,"Great for tracking how soon your appointment is, 8 times out of 10. Sometimes local conditions change in ways that throw out the estimated time.",4
Jim Borst,keep losing appointment,1
fazil baig,"times are not accurate, and check in are not given priority",1
Kathleen Ager,"when you check in, your wait time goes away if you leave the app, then you're unsure of your actual wait time",3
Lynn Holley,Unable to book appointment as can't get into booking screen.,1
Harry,"Very difficult to use, no clue, bad app",1
Mike C,"Right after checking in, the app shows the queue status properly, but after a few minutes, it just resets and there is no way to see the remaining wait time. There is no way to cancel either.",1
Alex Boyko,"Guys it's one thing for a wait times but you must ensure people understand that it's only a wait time app. I spent money to be able to get my results, but them find out its not true.. come on guys, please redo the app or update it .",1
Robert Evans,"69 minutes left, then when I next checked, booted out, and can't regain my countdown. This is worse than refreshing a web page. What's the point of an app and registering if it doesn't remember you?",1
Katie Smith,I put my name on wait list multiple days and the system took me off I waited all day and never received a prompt text telling me my appointment time,2
Doug Inglis,Great way to check out the time wait,5
Barb Harper,quick and simple,5
Mark Silver,"Some annoyances: why does the wait time go up AFTER I have registered? If walk-ins are pushing up the wait time, what's the point of reserving?! If I quit the app or it crashes my reservation does not reappear and (it seems) I need to reserve again at the back of the queue.",2
Katheryna Paradis-Blais,it should give you an estimated time as to when they will be ready for you not in min but in hours. there should also be a count down to indicate how much time is left before your appointment,3
Maxx rocks,good location,5
Mark Moren!ucy,"the check in app is great , no more waiting at the clinic . workers all friendly and nice .",5
clark hall,Good stuff! Hi nice nurse at Cookeville Dynacare clinic,5
Lavigne Collection,App is pretty much useless.. Registered online numerous times.. Have never received a txt update... regisration doesnt even show up. Poorly labelled locations. Waste of time.,1
Donna Book,Terrible,1
Karen C,"The app fails to show the ""Checked-In"" status a few minutes after checking in, sometimes. Therefore, there is no way to figure out my estimated wait time from the time I checked in. Additionally, since I cannot see whether I'm checked in at the location or not, I cannot cancel if I have to. When the app operates properly though, I find that it definitely serves its purpose - I do not have to physically wait in line for long. I'm in and out of the Dynacare location in 15-30 minutes max.",2
Val Chu,"This app should be offline. It's not working. Confirm by their staffs. So, don't waste your time",1
Bill Bogers,"I went through the whole process of downloading the app and registering. Got there and there was a long line in the sun. Wait time said 35 minutes. It was one hour and a half. The receptionist said, ""Oh, we aren't using that.""",1
Kayli H,app works great. it would be nice to actually choose times rather than a fluctuating wait time.,4
Consty Parthur,"I don't know if work is the same in all Dynacare locations, but the staff at 2555 St Joseph Blvd, Orleans On is unprofessional, cares more about chatting & joking... A lady left a needle 🪡 in my arm just to respond to a joke; then came back just to call a colleague to come continue, because it was time to leave; the colleague came and has to change the arm... These guys should know that they're working on humans being & not objects... With these distractions no surprise if samples are mixed up",1
A Google user,great,5
BARB Croke,personally I've been dealing with Dina care for a very long time and I appreciate the courtesy the cleanliness the support and just all around very good experience I've had almost every time I've been there in any of the clinics thank you so much. your dynacare plus is also fantastic.,5
Thee Pathmanathan,Keep increasing waiting times instead of reduce.,1
Usman Syed,Good but there is 73 minutes waiting time,5
Mustapha Yaghi,It's useless and inefficient. I checked in at 9 AM and was told the estimated time was 45 minutes; I checked 20 minutes later to find out the new estimated time was 53 minutes ... and kept going up until I was called in over 90 minutes later. I know that I would never use it again.,1
Ahsan Butt,It is a ridiculous app. It was better if dynacare shouldn't have it. Wastage of time. I shouldn't have given even a star if there was an option of Zero,1
Mike Rempel,This app is ridiculous. The entire app is basically a map of the locations and when you click on one of the locations to book an appointment it brings you to the DynaCare website. Not in the app it actually opens up your default web browser and opens the website for you to book your appointment. You could do this on the website you don't need the app. Also the app failed me. I booked an appointment for Saturday I got a confirmation email but when I arrived for my appointment the place was closed,1
Carole Richer,Great option. Let's me plan my arrival time,5
Jody,very easy to use and helpful,5
Thunder Soul,"Doesn't make a difference. Whether you book online through this app or you don't and just show up, you still get the same spot in line.",1
